file,line,col,word,code,rule,decision,context
openplc-editor/working-with-variables/global-variable-lists.md,20,138,Device,D-REMOTE,R13,stays,"on Block, Program, Data Type, Global Variable List, Server and Remote Device. Global Variable List is highlighted and its side panel is open, with"
openplc-editor/working-with-variables/variables-editor.md,56,39,device,D-EDITORNODE,R17,stays,"`Retain` on its own does nothing. The device also needs somewhere to keep the values, which is set up on the **[Pe"
openplc-editor/working-with-variables/variables-editor.md,103,61,device,D-REMOTE,R13,stays,"Variables that come from a producer, a Modbus master remote device, an EtherCAT slave channel, a board pin-map on the desktop editor, ha"
openplc-editor/working-with-variables/variables-editor.md,105,50,device,D-REMOTE,R13,stays,"If the producer goes away (you delete the remote device or the EtherCAT channel), the variable becomes **orphaned**. The edit"
openplc-editor/library-manager/creating-a-library.md,18,149,device,D-LITERAL,R10,stays,"eady in place: a `functions/` folder, a `function-blocks/` folder, a `devices/` folder, and a **`library.json`** manifest."
openplc-editor/library-manager/publishing-a-library.md,17,91,device,D-EDITORNODE,R17,stays,"rary project page. The file list includes functions, function-blocks, devices, build, project.json and library.json, and a ""Publish library"" butto"
openplc-editor/standard-function-blocks/other-blocks.md,418,104,device,D-REMOTE,R13,stays,mmunication/README): Set up Modbus and other industrial protocols for device-to-device communication
openplc-editor/standard-function-blocks/other-blocks.md,418,114,device,D-REMOTE,R13,stays,n/README): Set up Modbus and other industrial protocols for device-to-device communication
openplc-editor/building-deploying/debugger.md,61,109,Orchestrator,O-EDGEDEV,R04,changes,tion dropped. The console shows a transport error. Reconnect from the Orchestrators panel.
openplc-editor/building-deploying/debugger.md,63,71,Orchestrator,O-EDGEDEV,R04,changes,**The bug icon is grey.** You're not connected to a runtime. Open the Orchestrators screen and connect first.
openplc-editor/building-deploying/deployment-vplc.md,8,15,orchestrator,O-EDGEDEV,R04,changes,- An **online orchestrator** with at least one **running vPLC** on it. See **[Orchestrators](../
openplc-editor/building-deploying/deployment-vplc.md,8,79,Orchestrator,O-EDGEDEV,R04,changes,nline orchestrator** with at least one **running vPLC** on it. See **[Orchestrators](../../platform/orchestrators/overview)** in the platform docs.
openplc-editor/building-deploying/deployment-vplc.md,8,109,orchestrator,O-PATH,R02,changes,east one **running vPLC** on it. See **[Orchestrators](../../platform/orchestrators/overview)** in the platform docs.
openplc-editor/building-deploying/deployment-vplc.md,37,104,orchestrator,O-EDGEDEV,R04,changes,rror.** The connection dropped between compile and upload. Verify the orchestrator is still online and reconnect.
openplc-editor/building-deploying/headless-cli.md,3,120,device,D-TARGET,R16,stays,"terminal, with no window: create a project, build it, upload it to a device, and drive a live debug session against real hardware. It exists for"
openplc-editor/building-deploying/headless-cli.md,11,3,Device,D-TARGET,R16,stays,"| Device search, serial-port list | `openplc-cli devices` |"
openplc-editor/building-deploying/headless-cli.md,11,50,device,D-LITERAL,R10,stays,"| Device search, serial-port list | `openplc-cli devices` |"
openplc-editor/building-deploying/headless-cli.md,16,112,device,D-TARGET,R16,stays,"enPLC Editor application, which is what supplies the compiler and the device transports it drives. It runs on a machine with the desktop editor in"
openplc-editor/building-deploying/headless-cli.md,16,257,device,D-TARGET,R16,stays,"nstalled, including a headless CI machine, and works against the same devices as the editor."
openplc-editor/building-deploying/headless-cli.md,76,13,device,D-LITERAL,R16+fenced,stays,openplc-cli devices        # no switches needed from here on
openplc-editor/building-deploying/headless-cli.md,94,52,device,D-LITERAL,R10,stays,"Redirection and piping work normally (`openplc-cli devices > devices.json`), which is what matters for a test harness."
openplc-editor/building-deploying/headless-cli.md,94,62,device,D-LITERAL,R10,stays,"Redirection and piping work normally (`openplc-cli devices > devices.json`), which is what matters for a test harness."
openplc-editor/building-deploying/headless-cli.md,102,13,device,D-LITERAL,R16+fenced,stays,openplc-cli devices [--timeout <ms>]
openplc-editor/building-deploying/headless-cli.md,110,6,device,D-LITERAL,R10,stays,### `devices`
openplc-editor/building-deploying/headless-cli.md,112,135,device,D-REMOTE,R13,stays,the serial ports on this machine. The same two searches the editor's device picker and port dropdown run.
openplc-editor/building-deploying/headless-cli.md,115,13,device,D-LITERAL,R16+fenced,stays,openplc-cli devices
openplc-editor/building-deploying/headless-cli.md,116,13,device,D-LITERAL,R16+fenced,stays,openplc-cli devices --timeout 5000
openplc-editor/building-deploying/headless-cli.md,142,36,device,D-TARGET,R16,stays,"Builds, then sends the result to a device. Give it either a network address or a serial port:"
openplc-editor/building-deploying/headless-cli.md,149,29,device,D-HOST,R15,stays,"Targets that compile on the device itself refuse to build while the PLC is **RUNNING**, exactly as the e"
openplc-editor/building-deploying/headless-cli.md,149,140,device,D-TARGET,R16,stays,"LC is **RUNNING**, exactly as the editor warns: building on a running device can stall the build or make the program miss its scan deadlines. `--y"
openplc-editor/building-deploying/headless-cli.md,180,27,device,D-TARGET,R16,stays,| `7` | Target error: the device reported a failure |
openplc-editor/building-deploying/headless-cli.md,186,3,device,D-TARGET,R16,stays,A device reached through its runtime API needs them. A board flashed over USB
openplc-editor/building-deploying/headless-cli.md,279,61,device,D-TARGET,R16,stays,| `--upload-if-needed` | `debug open` | Upload first if the device's program does not match |
openplc-editor/building-deploying/headless-cli.md,313,84,device,D-TARGET,R16,stays,"is the thing to branch on. A compile error gives `4`, an unreachable device `5`, refused credentials `6`:"
openplc-editor/building-deploying/persistent-storage.md,8,13,device,D-TARGET,R16,stays,"2. Tell the device where to keep the values, on the **Persistent Storage** screen."
openplc-editor/building-deploying/persistent-storage.md,22,66,device,D-TARGET,R16,stays,"| **Retain** | `VAR RETAIN` | Preserved across a restart, if the device has somewhere to keep it. |"
openplc-editor/building-deploying/persistent-storage.md,32,42,Device,D-TARGET,R16,stays,**Persistent Storage** lives under the **Device** branch of the project tree.
openplc-editor/building-deploying/persistent-storage.md,34,29,Device,D-TARGET,R16,stays,"![The project tree with the Device branch expanded, showing Configuration, Persistent Storage and User M"
openplc-editor/building-deploying/persistent-storage.md,36,165,device,D-TARGET,R16,stays,"saved with the project like everything else in it, and they reach the device when you upload. There is nothing to connect to and nothing to config"
openplc-editor/building-deploying/persistent-storage.md,38,100,device,D-HOST,R15,stays,"en. A heading and explanatory line, a ""Keep retained variables on the device"" checkbox with its help text, a File location field showing the place"
openplc-editor/building-deploying/persistent-storage.md,40,34,device,D-HOST,R15,stays,**Keep retained variables on the device**
openplc-editor/building-deploying/persistent-storage.md,46,25,device,D-HOST,R15,stays,"An absolute path on the device. **Leave it empty and the runtime uses its own default**, which is th"
openplc-editor/building-deploying/persistent-storage.md,46,181,device,D-TARGET,R16,stays,"swer almost always: the editor does not have to know how a particular device lays out its filesystem, and the default is a location the runtime al"
openplc-editor/building-deploying/persistent-storage.md,61,151,device,D-TARGET,R16,stays,"they are kept when you save the project, and they are applied to the device the next time you upload."
openplc-editor/building-deploying/persistent-storage.md,65,9,device,D-TARGET,R16,stays,Where a device can safely keep values across a power cut is a **property of the hard
openplc-editor/building-deploying/persistent-storage.md,87,51,device,D-TARGET,R16,stays,Changing anything here changes the project. **The device keeps using the settings it last received until you upload again.** U
openplc-editor/building-deploying/persistent-storage.md,91,59,device,D-TARGET,R16,stays,"The checkbox reflects **what you configured**, not what a device is doing. A project can have storage switched on while nothing is bei"
openplc-editor/building-deploying/persistent-storage.md,97,7,device,D-TARGET,R16,stays,"**The device log is what tells you the truth.** After the PLC starts, the runtime"
openplc-editor/building-deploying/persistent-storage.md,113,108,device,D-TARGET,R16,stays,"the settings?** They travel with the program, so nothing reaches the device until you do."
openplc-editor/building-deploying/persistent-storage.md,115,16,device,D-TARGET,R16,stays,"5. **Check the device log after a start.** This is the step that distinguishes ""storage is"
openplc-editor/building-deploying/persistent-storage.md,116,98,device,D-HOST,R15,stays,"th, is it still valid?** A path whose directory does not exist on the device is refused when the program is installed. Clear the field to fall bac"
openplc-editor/building-deploying/project-compilation.md,38,102,orchestrator,O-EDGEDEV,R04,changes,"y default, so **Build & Upload** is always available, even without an orchestrator-managed vPLC. The ""upload"" step loads the firmware into the in-browse"
openplc-editor/building-deploying/project-compilation.md,40,128,Orchestrator,O-EDGEDEV,R04,changes,"Upload` and `Clean Upload` are disabled until you reconnect. Click **Orchestrators**, log back in, and they come back. (Or switch back to the Simulator"
openplc-editor/building-deploying/retrieve-project.md,3,70,device,D-TARGET,R16,stays,**File → Retrieve Project from PLC…** downloads the source project a device is holding and opens it in the editor.
openplc-editor/building-deploying/retrieve-project.md,5,243,device,D-TARGET,R16,stays,"upload sends the source project along with the compiled program, the device itself is the copy of last resort."
openplc-editor/building-deploying/retrieve-project.md,13,3,device,D-TARGET,R16,stays,A device therefore holds the project of its **most recent upload**. Two conseq
openplc-editor/building-deploying/retrieve-project.md,15,5,device,D-TARGET,R16,stays,- A device programmed before this feature existed has nothing to retrieve. It st
openplc-editor/building-deploying/retrieve-project.md,16,100,device,D-TARGET,R16,stays,"ads, not edits. If you changed the project after the last upload, the device is holding the older version."
openplc-editor/building-deploying/retrieve-project.md,21,28,device,D-TARGET,R16,stays,2. The editor searches for devices and lists what it finds.
openplc-editor/building-deploying/retrieve-project.md,23,20,device,D-TARGET,R16,stays,4. Sign in to that device.
openplc-editor/building-deploying/retrieve-project.md,26,16,device,D-TARGET,R16,stays,### Choosing a device
openplc-editor/building-deploying/retrieve-project.md,28,77,device,D-LITERAL,R10,stays,"Retrieve Project from PLC dialog. Under the title, the line ""Choose a device to retrieve its stored project. Retrieving requires an administrator"
openplc-editor/building-deploying/retrieve-project.md,28,169,device,D-TARGET,R16,stays,"stored project. Retrieving requires an administrator account on that device."" Below it a count reading ""1 device"" with a Refresh button, and a li"
openplc-editor/building-deploying/retrieve-project.md,28,206,device,D-TARGET,R16,stays,"an administrator account on that device."" Below it a count reading ""1 device"" with a Refresh button, and a list whose single row shows ""PostMergeC"
openplc-editor/building-deploying/retrieve-project.md,30,51,device,D-TARGET,R16,stays,"Each row leads with **the name of the project the device is holding**, and beneath it the device, its location, and when that"
openplc-editor/building-deploying/retrieve-project.md,30,91,device,D-TARGET,R16,stays,"**the name of the project the device is holding**, and beneath it the device, its location, and when that project was stored. That is usually enou"
openplc-editor/building-deploying/retrieve-project.md,36,40,device,D-TARGET,R16,stays,| A project name and a timestamp | The device answered and holds that project | Yes |
openplc-editor/building-deploying/retrieve-project.md,37,44,device,D-TARGET,R16,stays,| **No project stored** (greyed out) | The device answered and has nothing attached | No |
openplc-editor/building-deploying/retrieve-project.md,38,7,device,D-TARGET,R16,stays,| The device name and **project unknown** | The device did not answer the search i
openplc-editor/building-deploying/retrieve-project.md,38,49,device,D-TARGET,R16,stays,| The device name and **project unknown** | The device did not answer the search in time | Yes |
openplc-editor/building-deploying/retrieve-project.md,40,47,device,D-TARGET,R16,stays,"The third case stays selectable on purpose. A device that said nothing has not told you it is empty, so the picker does no"
openplc-editor/building-deploying/retrieve-project.md,42,44,device,D-TARGET,R16,stays,"**Refresh** runs the search again. With no devices at all the list reads *""No devices found. Check the network and try"
openplc-editor/building-deploying/retrieve-project.md,42,79,device,D-TARGET,R16,stays,"h** runs the search again. With no devices at all the list reads *""No devices found. Check the network and try Refresh.""*"
openplc-editor/building-deploying/retrieve-project.md,46,118,device,D-TARGET,R16,stays,"8.2.4. Retrieving a project requires an administrator account on that device."" above Username and Password fields, with ""Sign in and retrieve"" and"
openplc-editor/building-deploying/retrieve-project.md,48,56,device,D-TARGET,R16,stays,**Retrieving requires an administrator account on that device.** A `User`-role account can sign in to the runtime but cannot pull t
openplc-editor/building-deploying/retrieve-project.md,50,39,device,D-TARGET,R16,stays,"If you are **already connected to the device you picked**, this step is skipped entirely and retrieval starts at o"
openplc-editor/building-deploying/retrieve-project.md,52,41,device,D-TARGET,R16,stays,### If you are connected to a different device
openplc-editor/building-deploying/retrieve-project.md,54,163,device,D-REMOTE,R13,stays,".168.2.4 signs you out of it."" with a second line explaining that one device is connected at a time, and a ""Disconnect and continue"" button beside"
openplc-editor/building-deploying/retrieve-project.md,56,36,device,D-TARGET,R16,stays,"The editor holds a session for one device at a time, so signing in to another ends the one you have. Rather tha"
openplc-editor/building-deploying/retrieve-project.md,56,194,device,D-TARGET,R16,stays,"quietly as a side effect of browsing, the dialog stops and names the device you are about to be signed out of. **Disconnect and continue** accept"
openplc-editor/building-deploying/retrieve-project.md,65,121,device,D-TARGET,R16,stays,"waiting for your answer. Behind the prompt, the dialog returns to the device list carrying a message telling you to save or discard first and retr"
openplc-editor/building-deploying/retrieve-project.md,69,7,device,D-TARGET,R16,stays,- **A device that turns out to hold nothing never costs you your open project.** Y
openplc-editor/building-deploying/retrieve-project.md,80,16,device,D-TARGET,R16,stays,"It came from a device, not from a location you chose, so **an ordinary save is refused**:"
openplc-editor/building-deploying/retrieve-project.md,83,27,device,D-TARGET,R16,stays,"> It was retrieved from a device. Use Save As to choose where to keep it, then saving works as usual."
openplc-editor/building-deploying/retrieve-project.md,103,247,device,D-HOST,R15,stays,"ainst it produces a **different program** from the one running on the device, silently. Update it to match before trusting a rebuild."
openplc-editor/building-deploying/retrieve-project.md,109,6,device,D-TARGET,R16,stays,**No devices found.** The search reaches devices through your orchestrator. Check
openplc-editor/building-deploying/retrieve-project.md,109,42,device,D-TARGET,R16,stays,**No devices found.** The search reaches devices through your orchestrator. Check the device is powered and reachable
openplc-editor/building-deploying/retrieve-project.md,109,63,orchestrator,O-EDGEDEV,R04,changes,"**No devices found.** The search reaches devices through your orchestrator. Check the device is powered and reachable, then click **Refresh**. A"
openplc-editor/building-deploying/retrieve-project.md,109,87,device,D-TARGET,R16,stays,"nd.** The search reaches devices through your orchestrator. Check the device is powered and reachable, then click **Refresh**. A device on another"
openplc-editor/building-deploying/retrieve-project.md,109,146,device,D-TARGET,R16,stays,"Check the device is powered and reachable, then click **Refresh**. A device on another subnet may not answer."
openplc-editor/building-deploying/retrieve-project.md,111,3,Device,D-TARGET,R16,stays,"**Devices are listed but every row says ""project unknown"".** The devices were"
openplc-editor/building-deploying/retrieve-project.md,111,66,device,D-TARGET,R16,stays,"**Devices are listed but every row says ""project unknown"".** The devices were found, but the part of the search that asks each one what it ho"
openplc-editor/building-deploying/retrieve-project.md,111,184,orchestrator,O-AGENT,R03,changes,hat asks each one what it holds did not answer. This happens when the orchestrator agent is older than the feature. The list is still usable: select a d
openplc-editor/building-deploying/retrieve-project.md,111,265,device,D-TARGET,R16,stays,"r agent is older than the feature. The list is still usable: select a device and retrieve, and you will find out what it has. Updating the agent r"
openplc-editor/building-deploying/retrieve-project.md,113,28,device,D-TARGET,R16,stays,"**""No project stored"" on a device you know is programmed.** It was last programmed before uploads began"
openplc-editor/building-deploying/retrieve-project.md,115,74,device,D-HOST,R15,stays,"ign-in is refused.** Retrieving needs an administrator account on the device, not merely a valid one."
openplc-editor/building-deploying/retrieve-project.md,121,100,device,D-HOST,R15,stays,"ployment-vplc)** for uploading, which is what puts the project on the device in the first place."
openplc-editor/building-deploying/retrieve-project.md,123,67,device,D-TARGET,R16,stays,- **[Connecting to runtimes](../connecting-to-runtimes)** for how device sessions work.
openplc-editor/building-deploying/runtime-status.md,3,52,device,D-TARGET,R16,stays,"**Runtime Status** answers two questions about the device you are connected to: what it is, and how it is running. It also hold"
openplc-editor/building-deploying/runtime-status.md,3,158,device,D-TARGET,R16,stays,"is, and how it is running. It also holds the one action that needs a device rather than a project, changing the runtime version installed on it."
openplc-editor/building-deploying/runtime-status.md,5,22,Device,D-TARGET,R16,stays,It lives under the **Device** branch of the project tree.
openplc-editor/building-deploying/runtime-status.md,7,73,device,D-TARGET,R16,stays,"The Runtime Status screen. A header reading ""Runtime Status"" with the device name and address beneath it, a ""Change runtime version"" button at the"
openplc-editor/building-deploying/runtime-status.md,9,150,Orchestrator,O-EDGEDEV,R04,changes,"-cycle, EtherCAT and plugin tables used to sit at the bottom of the **Orchestrators** screen in the web editor, and at the bottom of the **Device Config"
openplc-editor/building-deploying/runtime-status.md,9,219,Device,D-TARGET,R16,stays,"*Orchestrators** screen in the web editor, and at the bottom of the **Device Configuration** screen in the desktop editor. They were never configu"
openplc-editor/building-deploying/runtime-status.md,13,37,device,D-TARGET,R16,stays,"Everything here is read from a live device, so the leaf appears **while you are connected** to one. Opening it o"
openplc-editor/building-deploying/runtime-status.md,15,13,device,D-TARGET,R16,stays,## What the device tells you about itself
openplc-editor/building-deploying/runtime-status.md,22,57,device,D-HOST,R15,stays,| **Bootloader** | The version of the bootloader on the device |
openplc-editor/building-deploying/runtime-status.md,23,18,device,D-TARGET,R16,stays,| **Host** | The device's hostname |
openplc-editor/building-deploying/runtime-status.md,30,35,device,D-TARGET,R16,stays,"**If some of these are empty, the device is a native install, or an installation old enough to predate the boo"
openplc-editor/building-deploying/runtime-status.md,30,171,device,D-TARGET,R16,stays,"te the bootloader.** It is not a fault, and nothing is wrong with the device. You simply see fewer details about it."
openplc-editor/building-deploying/runtime-status.md,52,83,device,D-HOST,R15,stays,runtime version** button installs a different OpenPLC runtime on the device.
openplc-editor/building-deploying/runtime-status.md,54,32,device,D-TARGET,R16,stays,"> **The button appears only on devices that can do it.** A native install, or an installation old enough to"
openplc-editor/building-deploying/runtime-status.md,58,59,device,D-TARGET,R16,stays,"![The Change Runtime Version dialog. It explains that the device downloads the version you choose and restarts its runtime, and that i"
openplc-editor/building-deploying/runtime-status.md,60,101,device,D-HOST,R15,stays,"published runtime releases, newest first. The version already on the device is marked **(installed)** and cannot be chosen, since installing what"
openplc-editor/building-deploying/runtime-status.md,64,110,device,D-REMOTE,R13,stays,"the dropdown is replaced by a field you can type a version into, so a device that is offline but holding an image you side-loaded is still install"
openplc-editor/building-deploying/runtime-status.md,68,191,device,D-TARGET,R16,stays,"reads ""Downloading v4.2.1 — Downloading"" at 38%, and a note says the device continues on its own if you close the editor and that on a slow conne"
openplc-editor/building-deploying/runtime-status.md,70,5,device,D-TARGET,R16,stays,"The device does the work: it downloads the image, replaces the runtime and then"
openplc-editor/building-deploying/runtime-status.md,78,53,device,D-HOST,R15,stays,| **The update failed** | Shown with the reason the device gave |
openplc-editor/building-deploying/runtime-status.md,80,46,device,D-TARGET,R16,stays,"**Closing the editor does not stop it.** The device continues on its own, and on a slow connection the whole thing can ta"
openplc-editor/building-deploying/runtime-status.md,84,12,device,D-TARGET,R16,stays,### If the device is in recovery
openplc-editor/building-deploying/runtime-status.md,86,97,device,D-HOST,R15,stays,"nning, the screen shows a warning at the top of the header saying the device is in recovery, with the reason the device reported and the advice to"
openplc-editor/building-deploying/runtime-status.md,86,140,device,D-HOST,R15,stays,"p of the header saying the device is in recovery, with the reason the device reported and the advice to **install a different version to recover i"
openplc-editor/building-deploying/runtime-status.md,92,80,device,D-TARGET,R16,stays,ecting to runtimes](../connecting-to-runtimes)** for establishing the device session this screen needs.
openplc-editor/building-deploying/runtime-status.md,94,90,device,D-TARGET,R16,stays,"t](user-management)**, the other screen that configures the connected device rather than the project."
openplc-editor/building-deploying/simulator.md,9,62,orchestrator,O-EDGEDEV,R04,changes,"The Simulator is the default target. Until you connect to an orchestrator-managed vPLC, anything you build runs on the Simulator. You'll see a"
openplc-editor/building-deploying/simulator.md,13,34,Device,D-TARGET,R16,stays,"1. In the project tree, expand **Device** and click **Orchestrators**."
openplc-editor/building-deploying/simulator.md,13,55,Orchestrator,O-EDGEDEV,R04,changes,"1. In the project tree, expand **Device** and click **Orchestrators**."
openplc-editor/building-deploying/simulator.md,14,8,Device,O-EDGEDEV,R09,changes,2. The Device Orchestrators screen opens in a tab.
openplc-editor/building-deploying/simulator.md,14,15,Orchestrator,O-EDGEDEV,R04,changes,2. The Device Orchestrators screen opens in a tab.
openplc-editor/building-deploying/simulator.md,17,3,Device,O-EDGEDEV,R09,changes,![Device Orchestrators screen with OpenPLC Simulator selected by default at th
openplc-editor/building-deploying/simulator.md,17,10,Orchestrator,O-EDGEDEV,R04,changes,"![Device Orchestrators screen with OpenPLC Simulator selected by default at the top, and th"
openplc-editor/building-deploying/simulator.md,17,112,orchestrator,O-EDGEDEV,R04,changes,"C Simulator selected by default at the top, and the user's registered orchestrators listed below](../images/orchestrators-screen.png)"
openplc-editor/building-deploying/simulator.md,17,150,orchestrator,O-PATH,R02,changes,"top, and the user's registered orchestrators listed below](../images/orchestrators-screen.png)"
openplc-editor/building-deploying/simulator.md,132,97,orchestrator,O-EDGEDEV,R04,changes,(../connecting-to-runtimes)**: when you're ready to run on a real (or orchestrator-managed virtual) device.
openplc-editor/building-deploying/simulator.md,132,127,device,D-TARGET,R16,stays,when you're ready to run on a real (or orchestrator-managed virtual) device.
openplc-editor/building-deploying/user-management.md,3,71,device,D-TARGET,R16,stays,"Every OpenPLC runtime keeps its own list of accounts. Signing in to a device is what lets the editor upload to it, start and stop it, watch variab"
openplc-editor/building-deploying/user-management.md,3,196,device,D-TARGET,R16,stays,"stop it, watch variables and read its logs, so those accounts are the device's access control, not the platform's."
